entity_id,designacao,siglas,sioe_code,nif,categoria_id,ministerio,tutela,website,morada,distrito,estado,criado_em,alterado_em,notas
dgartes-direcao-geral-das-artes,Direção-Geral das Artes,DGArtes,,,direcoes_gerais,Ministério da Cultura,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgal-direcao-geral-das-autarquias-locais,Direção-Geral das Autarquias Locais,DGAL,,,direcoes_gerais,Ministério da Coesão Territorial,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgav-direcao-geral-de-alimentacao-e-veterinaria,Direção-Geral de Alimentação e Veterinária,DGAV,,,direcoes_gerais,Ministério da Agricultura e Pescas,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgapdn-direcao-geral-de-armamento-e-patrimonio-da-defesa-nac,Direção-Geral de Armamento e Património da Defesa Nacional,DGAPDN,,,direcoes_gerais,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgdei-direcao-geral-de-direito-europeu-e-internacional,Direção-Geral de Direito Europeu e Internacional,DGDEI,,,direcoes_gerais,Ministério dos Negócios Estrangeiros,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgeec-direcao-geral-de-estatisticas-da-educacao-e-ciencia,Direção-Geral de Estatísticas da Educação e Ciência,DGEEC,,,direcoes_gerais,"Ministério da Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgepa-direcao-geral-de-estudos-planeamento-e-avaliacao,"Direção-Geral de Estudos, Planeamento e Avaliação",DGEPA,,,direcoes_gerais,"Ministério da Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgpe-direcao-geral-de-politica-externa,Direção-Geral de Política Externa,DGPE,,,direcoes_gerais,Ministério dos Negócios Estrangeiros,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgpdn-direcao-geral-de-politica-de-defesa-nacional,Direção-Geral de Política de Defesa Nacional,DGPDN,,,direcoes_gerais,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgrhdn-direcao-geral-de-recursos-humanos-da-defesa-nacional,Direção-Geral de Recursos Humanos da Defesa Nacional,DGRHDN,,,direcoes_gerais,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgrnssm-direcao-geral-de-recursos-naturais-seguranca-e-servi,"Direção-Geral de Recursos Naturais, Segurança e Serviços Marítimos",DGRNSSM,,,direcoes_gerais,Ministério das Infraestruturas e Habitação,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
